"ObsID"	"Town_Region"	"Village"	"Date"	"Year"	"Month"	"Day"	"Latitude"	"Longitude"	"Country"	"Confidence"	"Status"	"NumPosAg"	"NumTestAg"	"PropAg"	"NumPosAb"	"NumTestAb"	"PropAb"	"Genus"	"Species"	"DiagnosticMethod"	"Target"	"lat-lon-source"	"Source"	"Citation"	"DOI"	"Human_Random_Survey"	"Notes"
104	"Pita"	"Bantignel"	"NA"	"1990-1992"	"NA"	"NA"	11.06625311	-12.1680221	"Guinea"	"high"	"negative"	"NA"	"NA"	"NA"	10	165	0.060606061	"Homo"	"sapiens"	"ELISA"	"IgG"	"Coords estimated via Figure 2 map. Lola is focal point 1, Boke is focal point 2"	"Lukashevich_Clegg_1993"	"Lukashevich IS, Clegg JC, Sidibe K. Lassa virus activity in Guinea: Distribution of human antiviral antibody defined using enzyme‐linked immunosorbent assay with recombinant antigen. Journal of medical virology. 1993 Jul;40(3):210-7."	"10.1002/jmv.1890400308"	"T"	"NA"
105	"Labe"	"Sala"	"NA"	"1990-1992"	"NA"	"NA"	11.41256047	-12.1680221	"Guinea"	"high"	"negative"	"NA"	"NA"	"NA"	8	111	0.072072072	"Homo"	"sapiens"	"ELISA"	"IgG"	"Coords estimated via Figure 2 map. Lola is focal point 1, Boke is focal point 2"	"Lukashevich_Clegg_1993"	"Lukashevich IS, Clegg JC, Sidibe K. Lassa virus activity in Guinea: Distribution of human antiviral antibody defined using enzyme‐linked immunosorbent assay with recombinant antigen. Journal of medical virology. 1993 Jul;40(3):210-7."	"10.1002/jmv.1890400308"	"T"	"NA"
106	"Mali"	"Mali"	"NA"	"1990-1992"	"NA"	"NA"	11.95781037	-12.2434451	"Guinea"	"high"	"negative"	"NA"	"NA"	"NA"	8	147	0.054421769	"Homo"	"sapiens"	"ELISA"	"IgG"	"Coords estimated via Figure 2 map. Lola is focal point 1, Boke is focal point 2"	"Lukashevich_Clegg_1993"	"Lukashevich IS, Clegg JC, Sidibe K. Lassa virus activity in Guinea: Distribution of human antiviral antibody defined using enzyme‐linked immunosorbent assay with recombinant antigen. Journal of medical virology. 1993 Jul;40(3):210-7."	"10.1002/jmv.1890400308"	"T"	"NA"
107	"Mali"	"Deppal"	"NA"	"1990-1992"	"NA"	"NA"	11.95781037	-12.10631238	"Guinea"	"high"	"negative"	"NA"	"NA"	"NA"	1	29	0.034482759	"Homo"	"sapiens"	"ELISA"	"IgG"	"Coords estimated via Figure 2 map. Lola is focal point 1, Boke is focal point 2"	"Lukashevich_Clegg_1993"	"Lukashevich IS, Clegg JC, Sidibe K. Lassa virus activity in Guinea: Distribution of human antiviral antibody defined using enzyme‐linked immunosorbent assay with recombinant antigen. Journal of medical virology. 1993 Jul;40(3):210-7."	"10.1002/jmv.1890400308"	"T"	"NA"
108	"Siguiri"	"Kintinian"	"NA"	"1990-1993"	"NA"	"NA"	11.6	-9.3833333	"Guinea"	"high"	"negative"	"NA"	"NA"	"NA"	13	168	0.077380952	"Homo"	"sapiens"	"ELISA"	"IgG"	"EFC database"	"Lukashevich_Clegg_1993"	"Lukashevich IS, Clegg JC, Sidibe K. Lassa virus activity in Guinea: Distribution of human antiviral antibody defined using enzyme‐linked immunosorbent assay with recombinant antigen. Journal of medical virology. 1993 Jul;40(3):210-7."	"10.1002/jmv.1890400308"	"T"	"NA"
109	"Siguiri"	"Torekoro"	"NA"	"1990-1992"	"NA"	"NA"	11.40519223	-9.685919854	"Guinea"	"high"	"negative"	"NA"	"NA"	"NA"	5	100	0.05	"Homo"	"sapiens"	"ELISA"	"IgG"	"Coords estimated via Figure 2 map. Lola is focal point 1, Boke is focal point 2"	"Lukashevich_Clegg_1993"	"Lukashevich IS, Clegg JC, Sidibe K. Lassa virus activity in Guinea: Distribution of human antiviral antibody defined using enzyme‐linked immunosorbent assay with recombinant antigen. Journal of medical virology. 1993 Jul;40(3):210-7."	"10.1002/jmv.1890400308"	"T"	"NA"
110	"Boke"	"Hamdalaye"	"NA"	"1990-1992"	"NA"	"NA"	11.07362135	-14.04674037	"Guinea"	"high"	"negative"	"NA"	"NA"	"NA"	5	102	0.049019608	"Homo"	"sapiens"	"ELISA"	"IgG"	"Coords estimated via Figure 2 map. Lola is focal point 1, Boke is focal point 2"	"Lukashevich_Clegg_1993"	"Lukashevich IS, Clegg JC, Sidibe K. Lassa virus activity in Guinea: Distribution of human antiviral antibody defined using enzyme‐linked immunosorbent assay with recombinant antigen. Journal of medical virology. 1993 Jul;40(3):210-7."	"10.1002/jmv.1890400308"	"T"	"NA"
111	"Bofa"	"Walia"	"NA"	"1990-1992"	"NA"	"NA"	10.41784783	-14.21815628	"Guinea"	"high"	"negative"	"NA"	"NA"	"NA"	6	160	0.0375	"Homo"	"sapiens"	"ELISA"	"IgG"	"Coords estimated via Figure 2 map. Lola is focal point 1, Boke is focal point 2"	"Lukashevich_Clegg_1993"	"Lukashevich IS, Clegg JC, Sidibe K. Lassa virus activity in Guinea: Distribution of human antiviral antibody defined using enzyme‐linked immunosorbent assay with recombinant antigen. Journal of medical virology. 1993 Jul;40(3):210-7."	"10.1002/jmv.1890400308"	"T"	"NA"
112	"Siguiri"	"Balato"	"NA"	"1990-1992"	"NA"	"NA"	11.73676311	-9.727059671	"Guinea"	"high"	"positive"	"NA"	"NA"	"NA"	27	150	0.18	"Homo"	"sapiens"	"ELISA"	"IgG"	"Coords estimated via Figure 2 map. Lola is focal point 1, Boke is focal point 2"	"Lukashevich_Clegg_1993"	"Lukashevich IS, Clegg JC, Sidibe K. Lassa virus activity in Guinea: Distribution of human antiviral antibody defined using enzyme‐linked immunosorbent assay with recombinant antigen. Journal of medical virology. 1993 Jul;40(3):210-7."	"10.1002/jmv.1890400308"	"T"	"NA"
113	"Gueckedou"	"Dawa Bombolo"	"NA"	"1990-1992"	"NA"	"NA"	8.642101563	-10.36472682	"Guinea"	"high"	"positive"	"NA"	"NA"	"NA"	31	65	0.476923077	"Homo"	"sapiens"	"ELISA"	"IgG"	"Coords estimated via Figure 2 map. Lola is focal point 1, Boke is focal point 2"	"Lukashevich_Clegg_1993"	"Lukashevich IS, Clegg JC, Sidibe K. Lassa virus activity in Guinea: Distribution of human antiviral antibody defined using enzyme‐linked immunosorbent assay with recombinant antigen. Journal of medical virology. 1993 Jul;40(3):210-7."	"10.1002/jmv.1890400308"	"T"	"NA"
114	"East"	"Niahun"	"NA"	"1977-1983"	"NA"	"NA"	8	-11.07	"Sierra Leone"	"high"	"positive"	28	396	0.070707071	120	396	0.303030303	"Mastomys"	"natalensis"	"IFA, Isolation"	"IgG, IgM"	"Fichet-Calvet_Rogers_2009"	"McCormick_Webb_1987"	"McCormick JB, Webb PA, Krebs JW, Johnson KM, Smith ES. A prospective study of the epidemiology and ecology of Lassa fever. Journal of Infectious Diseases. 1987 Mar 1;155(3):437-44."	"10.1093/infdis/155.3.437"	"F"	"Doesn't specify whether IgM+, IgG+, or both; ""Not all Mastomys were tested for virus and antibody"" - doesn't clarify which"
115	"East"	"Konia"	"NA"	"1977-1983"	"NA"	"NA"	8.1	-11.02	"Sierra Leone"	"high"	"positive"	56	340	0.164705882	97	294	0.329931973	"Mastomys"	"natalensis"	"IFA, Isolation"	"IgG, IgM"	"Fichet-Calvet_Rogers_2009"	"McCormick_Webb_1987"	"McCormick JB, Webb PA, Krebs JW, Johnson KM, Smith ES. A prospective study of the epidemiology and ecology of Lassa fever. Journal of Infectious Diseases. 1987 Mar 1;155(3):437-44."	"10.1093/infdis/155.3.437"	"F"	"Doesn't specify whether IgM+, IgG+, or both; ""Not all Mastomys were tested for virus and antibody"" - doesn't clarify which"
116	"East"	"Kpandebu"	"NA"	"1977-1983"	"NA"	"NA"	8.22	-11.07	"Sierra Leone"	"high"	"positive"	1	38	0.026315789	9	39	0.230769231	"Mastomys"	"natalensis"	"IFA, Isolation"	"IgG, IgM"	"Fichet-Calvet_Rogers_2009"	"McCormick_Webb_1987"	"McCormick JB, Webb PA, Krebs JW, Johnson KM, Smith ES. A prospective study of the epidemiology and ecology of Lassa fever. Journal of Infectious Diseases. 1987 Mar 1;155(3):437-44."	"10.1093/infdis/155.3.437"	"F"	"Doesn't specify whether IgM+, IgG+, or both; ""Not all Mastomys were tested for virus and antibody"" - doesn't clarify which"
117	"East"	"Tongola"	"NA"	"1977-1983"	"NA"	"NA"	8.22	-11.05	"Sierra Leone"	"high"	"positive"	5	49	0.102040816	5	49	0.102040816	"Mastomys"	"natalensis"	"IFA, Isolation"	"IgG, IgM"	"Fichet-Calvet_Rogers_2009"	"McCormick_Webb_1987"	"McCormick JB, Webb PA, Krebs JW, Johnson KM, Smith ES. A prospective study of the epidemiology and ecology of Lassa fever. Journal of Infectious Diseases. 1987 Mar 1;155(3):437-44."	"10.1093/infdis/155.3.437"	"F"	"Doesn't specify whether IgM+, IgG+, or both; ""Not all Mastomys were tested for virus and antibody"" - doesn't clarify which"
118	"East"	"Lalehun"	"NA"	"1977-1982"	"NA"	"NA"	8.2	-11.08	"Sierra Leone"	"high"	"positive"	1	130	0.007692308	8	130	0.061538462	"Mastomys"	"natalensis"	"IFA, Isolation"	"IgG, IgM"	"Fichet-Calvet_Rogers_2009"	"McCormick_Webb_1987"	"McCormick JB, Webb PA, Krebs JW, Johnson KM, Smith ES. A prospective study of the epidemiology and ecology of Lassa fever. Journal of Infectious Diseases. 1987 Mar 1;155(3):437-44."	"10.1093/infdis/155.3.437"	"F"	"Doesn't specify whether IgM+, IgG+, or both; ""Not all Mastomys were tested for virus and antibody"" - doesn't clarify which"
119	"East"	"Palima"	"NA"	"1977-1983"	"NA"	"NA"	8.22	-11.05	"Sierra Leone"	"high"	"positive"	6	52	0.115384615	19	53	0.358490566	"Mastomys"	"natalensis"	"IFA, Isolation"	"IgG, IgM"	"Fichet-Calvet_Rogers_2009"	"McCormick_Webb_1987"	"McCormick JB, Webb PA, Krebs JW, Johnson KM, Smith ES. A prospective study of the epidemiology and ecology of Lassa fever. Journal of Infectious Diseases. 1987 Mar 1;155(3):437-44."	"10.1093/infdis/155.3.437"	"F"	"Doesn't specify whether IgM+, IgG+, or both; ""Not all Mastomys were tested for virus and antibody"" - doesn't clarify which"
120	"East"	"Giehun"	"NA"	"1977-1983"	"NA"	"NA"	8.47	-10.77	"Sierra Leone"	"high"	"positive"	1	102	0.009803922	8	103	0.077669903	"Mastomys"	"natalensis"	"IFA, Isolation"	"IgG, IgM"	"Google Earth search"	"McCormick_Webb_1987"	"McCormick JB, Webb PA, Krebs JW, Johnson KM, Smith ES. A prospective study of the epidemiology and ecology of Lassa fever. Journal of Infectious Diseases. 1987 Mar 1;155(3):437-44."	"10.1093/infdis/155.3.437"	"F"	"Doesn't specify whether IgM+, IgG+, or both; ""Not all Mastomys were tested for virus and antibody"" - doesn't clarify which"
121	"East"	"Landoma"	"NA"	"1977-1983"	"NA"	"NA"	8.23	-11.07	"Sierra Leone"	"high"	"positive"	2	56	0.035714286	9	56	0.160714286	"Mastomys"	"natalensis"	"IFA, Isolation"	"IgG, IgM"	"Fichet-Calvet_Rogers_2009"	"McCormick_Webb_1987"	"McCormick JB, Webb PA, Krebs JW, Johnson KM, Smith ES. A prospective study of the epidemiology and ecology of Lassa fever. Journal of Infectious Diseases. 1987 Mar 1;155(3):437-44."	"10.1093/infdis/155.3.437"	"F"	"Doesn't specify whether IgM+, IgG+, or both; ""Not all Mastomys were tested for virus and antibody"" - doesn't clarify which"
122	"East"	"Lowoma"	"NA"	"1977-1982"	"NA"	"NA"	8.22	-11.03	"Sierra Leone"	"high"	"positive"	26	32	0.8125	2	33	0.060606061	"Mastomys"	"natalensis"	"IFA, Isolation"	"IgG, IgM"	"Fichet-Calvet_Rogers_2009"	"McCormick_Webb_1987"	"McCormick JB, Webb PA, Krebs JW, Johnson KM, Smith ES. A prospective study of the epidemiology and ecology of Lassa fever. Journal of Infectious Diseases. 1987 Mar 1;155(3):437-44."	"10.1093/infdis/155.3.437"	"F"	"Doesn't specify whether IgM+, IgG+, or both; ""Not all Mastomys were tested for virus and antibody"" - doesn't clarify which"
123	"East"	"Geliama"	"NA"	"1977-1983"	"NA"	"NA"	8.22	-11.03	"Sierra Leone"	"high"	"positive"	9	68	0.132352941	11	68	0.161764706	"Mastomys"	"natalensis"	"IFA, Isolation"	"IgG, IgM"	"Fichet-Calvet_Rogers_2009"	"McCormick_Webb_1987"	"McCormick JB, Webb PA, Krebs JW, Johnson KM, Smith ES. A prospective study of the epidemiology and ecology of Lassa fever. Journal of Infectious Diseases. 1987 Mar 1;155(3):437-44."	"10.1093/infdis/155.3.437"	"F"	"Doesn't specify whether IgM+, IgG+, or both; ""Not all Mastomys were tested for virus and antibody"" - doesn't clarify which"
124	"East"	"Giema"	"NA"	"1977-1983"	"NA"	"NA"	8.2	-11.05	"Sierra Leone"	"high"	"positive"	18	93	0.193548387	15	53	0.283018868	"Mastomys"	"natalensis"	"IFA, Isolation"	"IgG, IgM"	"Fichet-Calvet_Rogers_2009"	"McCormick_Webb_1987"	"McCormick JB, Webb PA, Krebs JW, Johnson KM, Smith ES. A prospective study of the epidemiology and ecology of Lassa fever. Journal of Infectious Diseases. 1987 Mar 1;155(3):437-44."	"10.1093/infdis/155.3.437"	"F"	"Doesn't specify whether IgM+, IgG+, or both; ""Not all Mastomys were tested for virus and antibody"" - doesn't clarify which"
125	"South"	"Yengema"	"NA"	"1977-1983"	"NA"	"NA"	8.62	-11.17	"Sierra Leone"	"high"	"negative"	0	8	0	0	19	0	"Mastomys"	"natalensis"	"IFA, Isolation"	"IgG, IgM"	"Fichet-Calvet_Rogers_2009"	"McCormick_Webb_1987"	"McCormick JB, Webb PA, Krebs JW, Johnson KM, Smith ES. A prospective study of the epidemiology and ecology of Lassa fever. Journal of Infectious Diseases. 1987 Mar 1;155(3):437-44."	"10.1093/infdis/155.3.437"	"F"	"Doesn't specify whether IgM+, IgG+, or both; ""Not all Mastomys were tested for virus and antibody"" - doesn't clarify which"
126	"North"	"Kathumpe"	"NA"	"1977-1983"	"NA"	"NA"	9.5	-12.23	"Sierra Leone"	"high"	"positive"	4	54	0.074074074	0	0	"NA"	"Mastomys"	"natalensis"	"IFA, Isolation"	"IgG, IgM"	"Fichet-Calvet_Rogers_2009"	"McCormick_Webb_1987"	"McCormick JB, Webb PA, Krebs JW, Johnson KM, Smith ES. A prospective study of the epidemiology and ecology of Lassa fever. Journal of Infectious Diseases. 1987 Mar 1;155(3):437-44."	"10.1093/infdis/155.3.437"	"F"	"Doesn't specify whether IgM+, IgG+, or both; ""Not all Mastomys were tested for virus and antibody"" - doesn't clarify which"
127	"North"	"Mamaka"	"NA"	"1977-1983"	"NA"	"NA"	9.1	-12.32	"Sierra Leone"	"high"	"positive"	5	17	0.294117647	0	0	"NA"	"Mastomys"	"natalensis"	"IFA, Isolation"	"IgG, IgM"	"Fichet-Calvet_Rogers_2009"	"McCormick_Webb_1987"	"McCormick JB, Webb PA, Krebs JW, Johnson KM, Smith ES. A prospective study of the epidemiology and ecology of Lassa fever. Journal of Infectious Diseases. 1987 Mar 1;155(3):437-44."	"10.1093/infdis/155.3.437"	"F"	"Doesn't specify whether IgM+, IgG+, or both; ""Not all Mastomys were tested for virus and antibody"" - doesn't clarify which"
128	"North"	"Kamabunyele"	"NA"	"1977-1983"	"NA"	"NA"	9.18	-11.93	"Sierra Leone"	"high"	"positive"	"NA"	"NA"	"NA"	17	118	0.14	"Homo"	"sapiens"	"IFA, Isolation"	"IgG, IgM"	"Fichet-Calvet_Rogers_2009"	"McCormick_Webb_1987"	"McCormick JB, Webb PA, Krebs JW, Johnson KM, Smith ES. A prospective study of the epidemiology and ecology of Lassa fever. Journal of Infectious Diseases. 1987 Mar 1;155(3):437-44."	"10.1093/infdis/155.3.437"	"T"	"Doesn't specify whether IgM+, IgG+, or both"
129	"North"	"Kathumpe"	"NA"	"1977-1983"	"NA"	"NA"	9.5	-12.23	"Sierra Leone"	"high"	"positive"	"NA"	"NA"	"NA"	9	88	0.1	"Homo"	"sapiens"	"IFA, Isolation"	"IgG, IgM"	"Fichet-Calvet_Rogers_2009"	"McCormick_Webb_1987"	"McCormick JB, Webb PA, Krebs JW, Johnson KM, Smith ES. A prospective study of the epidemiology and ecology of Lassa fever. Journal of Infectious Diseases. 1987 Mar 1;155(3):437-44."	"10.1093/infdis/155.3.437"	"T"	"Doesn't specify whether IgM+, IgG+, or both"
130	"East"	"Bomie"	"NA"	"1977-1983"	"NA"	"NA"	8.23	-11.07	"Sierra Leone"	"high"	"positive"	"NA"	"NA"	"NA"	62	617	0.1	"Homo"	"sapiens"	"IFA, Isolation"	"IgG, IgM"	"Fichet-Calvet_Rogers_2009"	"McCormick_Webb_1987"	"McCormick JB, Webb PA, Krebs JW, Johnson KM, Smith ES. A prospective study of the epidemiology and ecology of Lassa fever. Journal of Infectious Diseases. 1987 Mar 1;155(3):437-44."	"10.1093/infdis/155.3.437"	"T"	"Doesn't specify whether IgM+, IgG+, or both"
131	"East"	"Landoma"	"NA"	"1977-1983"	"NA"	"NA"	8.23	-11.07	"Sierra Leone"	"high"	"positive"	"NA"	"NA"	"NA"	17	157	0.11	"Homo"	"sapiens"	"IFA, Isolation"	"IgG, IgM"	"Fichet-Calvet_Rogers_2009"	"McCormick_Webb_1987"	"McCormick JB, Webb PA, Krebs JW, Johnson KM, Smith ES. A prospective study of the epidemiology and ecology of Lassa fever. Journal of Infectious Diseases. 1987 Mar 1;155(3):437-44."	"10.1093/infdis/155.3.437"	"T"	"Doesn't specify whether IgM+, IgG+, or both"
132	"East"	"Konia"	"NA"	"1977-1983"	"NA"	"NA"	8.1	-11.02	"Sierra Leone"	"high"	"positive"	"NA"	"NA"	"NA"	271	733	0.37	"Homo"	"sapiens"	"IFA, Isolation"	"IgG, IgM"	"Fichet-Calvet_Rogers_2009"	"McCormick_Webb_1987"	"McCormick JB, Webb PA, Krebs JW, Johnson KM, Smith ES. A prospective study of the epidemiology and ecology of Lassa fever. Journal of Infectious Diseases. 1987 Mar 1;155(3):437-44."	"10.1093/infdis/155.3.437"	"T"	"Doesn't specify whether IgM+, IgG+, or both"
133	"East"	"Kpandebu"	"NA"	"1977-1983"	"NA"	"NA"	8.22	-11.07	"Sierra Leone"	"high"	"positive"	"NA"	"NA"	"NA"	87	578	0.15	"Homo"	"sapiens"	"IFA, Isolation"	"IgG, IgM"	"Fichet-Calvet_Rogers_2009"	"McCormick_Webb_1987"	"McCormick JB, Webb PA, Krebs JW, Johnson KM, Smith ES. A prospective study of the epidemiology and ecology of Lassa fever. Journal of Infectious Diseases. 1987 Mar 1;155(3):437-44."	"10.1093/infdis/155.3.437"	"T"	"Doesn't specify whether IgM+, IgG+, or both"
134	"East"	"Lowoma"	"NA"	"1977-1982"	"NA"	"NA"	8.22	-11.03	"Sierra Leone"	"high"	"positive"	"NA"	"NA"	"NA"	37	285	0.13	"Homo"	"sapiens"	"IFA, Isolation"	"IgG, IgM"	"Fichet-Calvet_Rogers_2009"	"McCormick_Webb_1987"	"McCormick JB, Webb PA, Krebs JW, Johnson KM, Smith ES. A prospective study of the epidemiology and ecology of Lassa fever. Journal of Infectious Diseases. 1987 Mar 1;155(3):437-44."	"10.1093/infdis/155.3.437"	"T"	"Doesn't specify whether IgM+, IgG+, or both"
135	"East"	"Neama"	"NA"	"1977-1983"	"NA"	"NA"	8.12	-11	"Sierra Leone"	"high"	"positive"	"NA"	"NA"	"NA"	16	105	0.15	"Homo"	"sapiens"	"IFA, Isolation"	"IgG, IgM"	"Fichet-Calvet_Rogers_2009"	"McCormick_Webb_1987"	"McCormick JB, Webb PA, Krebs JW, Johnson KM, Smith ES. A prospective study of the epidemiology and ecology of Lassa fever. Journal of Infectious Diseases. 1987 Mar 1;155(3):437-44."	"10.1093/infdis/155.3.437"	"T"	"Doesn't specify whether IgM+, IgG+, or both"
136	"East"	"Niahun"	"NA"	"1977-1983"	"NA"	"NA"	8	-11.07	"Sierra Leone"	"high"	"positive"	"NA"	"NA"	"NA"	204	1075	0.19	"Homo"	"sapiens"	"IFA, Isolation"	"IgG, IgM"	"Fichet-Calvet_Rogers_2009"	"McCormick_Webb_1987"	"McCormick JB, Webb PA, Krebs JW, Johnson KM, Smith ES. A prospective study of the epidemiology and ecology of Lassa fever. Journal of Infectious Diseases. 1987 Mar 1;155(3):437-44."	"10.1093/infdis/155.3.437"	"T"	"Doesn't specify whether IgM+, IgG+, or both"
137	"East"	"Njakundoma"	"NA"	"1977-1983"	"NA"	"NA"	8.23	-11.05	"Sierra Leone"	"high"	"positive"	"NA"	"NA"	"NA"	48	242	0.2	"Homo"	"sapiens"	"IFA, Isolation"	"IgG, IgM"	"Fichet-Calvet_Rogers_2009"	"McCormick_Webb_1987"	"McCormick JB, Webb PA, Krebs JW, Johnson KM, Smith ES. A prospective study of the epidemiology and ecology of Lassa fever. Journal of Infectious Diseases. 1987 Mar 1;155(3):437-44."	"10.1093/infdis/155.3.437"	"T"	"Doesn't specify whether IgM+, IgG+, or both"
138	"East"	"Palima"	"NA"	"1977-1983"	"NA"	"NA"	8.22	-11.05	"Sierra Leone"	"high"	"positive"	"NA"	"NA"	"NA"	113	217	0.52	"Homo"	"sapiens"	"IFA, Isolation"	"IgG, IgM"	"Fichet-Calvet_Rogers_2009"	"McCormick_Webb_1987"	"McCormick JB, Webb PA, Krebs JW, Johnson KM, Smith ES. A prospective study of the epidemiology and ecology of Lassa fever. Journal of Infectious Diseases. 1987 Mar 1;155(3):437-44."	"10.1093/infdis/155.3.437"	"T"	"Doesn't specify whether IgM+, IgG+, or both"
139	"East"	"Tongola"	"NA"	"1977-1983"	"NA"	"NA"	8.22	-11.05	"Sierra Leone"	"high"	"positive"	"NA"	"NA"	"NA"	125	402	0.31	"Homo"	"sapiens"	"IFA, Isolation"	"IgG, IgM"	"Fichet-Calvet_Rogers_2009"	"McCormick_Webb_1987"	"McCormick JB, Webb PA, Krebs JW, Johnson KM, Smith ES. A prospective study of the epidemiology and ecology of Lassa fever. Journal of Infectious Diseases. 1987 Mar 1;155(3):437-44."	"10.1093/infdis/155.3.437"	"T"	"Doesn't specify whether IgM+, IgG+, or both"
140	"East"	"Semewabu"	"NA"	"1977-1983"	"NA"	"NA"	8.02	-10.87	"Sierra Leone"	"high"	"positive"	"NA"	"NA"	"NA"	141	372	0.38	"Homo"	"sapiens"	"IFA, Isolation"	"IgG, IgM"	"Fichet-Calvet_Rogers_2009"	"McCormick_Webb_1987"	"McCormick JB, Webb PA, Krebs JW, Johnson KM, Smith ES. A prospective study of the epidemiology and ecology of Lassa fever. Journal of Infectious Diseases. 1987 Mar 1;155(3):437-44."	"10.1093/infdis/155.3.437"	"T"	"Doesn't specify whether IgM+, IgG+, or both"
141	"North"	"Kamethe"	"NA"	"1977-1983"	"NA"	"NA"	"NA"	"NA"	"Sierra Leone"	"high"	"positive"	"NA"	"NA"	"NA"	17	115	0.15	"Homo"	"sapiens"	"IFA, Isolation"	"IgG, IgM"	"Could not find"	"McCormick_Webb_1987"	"McCormick JB, Webb PA, Krebs JW, Johnson KM, Smith ES. A prospective study of the epidemiology and ecology of Lassa fever. Journal of Infectious Diseases. 1987 Mar 1;155(3):437-44."	"10.1093/infdis/155.3.437"	"T"	"Doesn't specify whether IgM+, IgG+, or both"
142	"South"	"Yengema"	"NA"	"1977-1983"	"NA"	"NA"	8.714835	-11.169823	"Sierra Leone"	"high"	"negative"	"NA"	"NA"	"NA"	9	109	0.08	"Homo"	"sapiens"	"IFA, Isolation"	"IgG, IgM"	"Google Earth search"	"McCormick_Webb_1987"	"McCormick JB, Webb PA, Krebs JW, Johnson KM, Smith ES. A prospective study of the epidemiology and ecology of Lassa fever. Journal of Infectious Diseases. 1987 Mar 1;155(3):437-44."	"10.1093/infdis/155.3.437"	"T"	"Doesn't specify whether IgM+, IgG+, or both"
143	"Kenema"	"hospital"	"NA"	"1977-1983"	"NA"	"NA"	7.9044444	-11.2022222	"Sierra Leone"	"high"	"positive"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"Homo"	"sapiens"	"IFA, Isolation"	"IgG, IgM"	"EFC database"	"McCormick_Webb_1987"	"McCormick JB, Webb PA, Krebs JW, Johnson KM, Smith ES. A prospective study of the epidemiology and ecology of Lassa fever. Journal of Infectious Diseases. 1987 Mar 1;155(3):437-44."	"10.1093/infdis/155.3.437"	"F"	"Hospital"
144	"Segbwema"	"hospital"	"NA"	"1977-1983"	"NA"	"NA"	8	-10.95	"Sierra Leone"	"high"	"positive"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"Homo"	"sapiens"	"IFA, Isolation"	"IgG, IgM"	"EFC database"	"McCormick_Webb_1987"	"McCormick JB, Webb PA, Krebs JW, Johnson KM, Smith ES. A prospective study of the epidemiology and ecology of Lassa fever. Journal of Infectious Diseases. 1987 Mar 1;155(3):437-44."	"10.1093/infdis/155.3.437"	"F"	"Hospital"
145	"Panguma"	"Tongo"	"NA"	1972	"NA"	"NA"	8.45	-11.12	"Sierra Leone"	"high"	"positive"	13	35	0.371428571	"NA"	"NA"	"NA"	"Mastomys"	"natalensis"	"CF"	"Ag"	"Fichet-Calvet_Rogers_2009"	"Monath_Newhouse_1974"	"Monath TP, Newhouse VF, Kemp GE, Setzer HW, Cacciapuoti A. Lassa virus isolation from Mastomys natalensis rodents during an epidemic in Sierra Leone. Science. 1974 Jul 19;185(4147):263-5."	"10.1126/science.185.4147.263"	"F"	"NA"
146	"Panguma"	"Hospital"	"NA"	1972	"NA"	"NA"	"8.2"	"-11.2166667"	"Sierra Leone"	"high"	"positive"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"Homo"	"sapiens"	"IFA"	"IgG"	"EFC database"	"Monath_Newhouse_1974"	"Monath TP, Newhouse VF, Kemp GE, Setzer HW, Cacciapuoti A. Lassa virus isolation from Mastomys natalensis rodents during an epidemic in Sierra Leone. Science. 1974 Jul 19;185(4147):263-5."	"10.1126/science.185.4147.263"	"F"	"Hospital"
147	"Panguma"	"Panguma"	"NA"	1972	"NA"	"NA"	8.2	-11.22	"Sierra Leone"	"high"	"positive"	1	46	0.02173913	"NA"	"NA"	"NA"	"Mastomys"	"natalensis"	"CF"	"Ag"	"Fichet-Calvet_Rogers_2009"	"Monath_Newhouse_1974"	"Monath TP, Newhouse VF, Kemp GE, Setzer HW, Cacciapuoti A. Lassa virus isolation from Mastomys natalensis rodents during an epidemic in Sierra Leone. Science. 1974 Jul 19;185(4147):263-5."	"10.1126/science.185.4147.263"	"F"	"NA"
148	"Upper West"	"Natorduori"	"NA"	"2010-2011"	"NA"	"NA"	10.25123328	-2.621978022	"Ghana"	"NA"	"negative"	"NA"	"NA"	"NA"	4	70	0.057142857	"Homo"	"sapiens"	"ELISA"	"IgG"	"Nimo-Paintsil_Fichet-Calvet_2019: Coords estimated via Figure 1 map"	"Nimo-Paintsil_Fichet-Calvet_2019"	"Nimo-Paintsil SC, Fichet-Calvet E, Borremans B, Letizia AG, Mohareb E, Bonney JH, Obiri-Danso K, Ampofo WK, Schoepp RJ, Kronmann KC. Rodent-borne infections in rural Ghanaian farming communities. PloS one. 2019;14(4)."	"10.1371/journal. pone.0215224 "	"T"	"Number positives inferred from Fig2 and caption on Fig1"
