"ObsID"	"Town_Region"	"Village"	"Year"	"Latitude"	"Longitude"	"Country"	"NumPosVirus"	"NumTestVirus"	"PropVirus"	"Virus_Diagnostic_Method"	"NumPosAb"	"NumTestAb"	"PropAb"	"Ab_Diagnostic_Method"	"Antibody_Target"	"Genus"	"Species"	"lat-lon-source"	"Source"	"Citation"	"DOI"	"Bibtex"	"Survey_Notes"	"Housing_Notes"
11	"NA"	"Maikou"	"2002-2004"	9.037222222	-9.024722222	"Guinea"	"NA"	"NA"	"NA"	"NA"	0	0	"NA"	"IFA"	"IgG"	"Mastomys"	"natalensis"	"Fichet-Calvet_Becker-Ziaja_2014"	"Fichet-Calvet_Becker-Ziaja_2014"	"Fichet-Calvet E, Becker-Ziaja B, Koivogui L, Günther S. Lassa serology in natural populations of rodents and horizontal transmission. Vector-Borne and Zoonotic Diseases. 2014 Sep 1;14(9):665-74."	"10.1089/vbz.2013.1484"	"fichet2014lassa"	"NA"	"NA"
12	"Kangaba"	"Massakoroma"	"2002-2004"	12.29944444	-8.774722222	"Mali"	"NA"	"NA"	"NA"	"NA"	0	39	0	"IFA"	"IgG"	"Mastomys"	"natalensis"	"Fichet-Calvet_Becker-Ziaja_2014"	"Fichet-Calvet_Becker-Ziaja_2014"	"Fichet-Calvet E, Becker-Ziaja B, Koivogui L, Günther S. Lassa serology in natural populations of rodents and horizontal transmission. Vector-Borne and Zoonotic Diseases. 2014 Sep 1;14(9):665-74."	"10.1089/vbz.2013.1484"	"fichet2014lassa"	"NA"	"NA"
13	"Macenta"	"Sangassou"	"2002-2004"	8.613611111	-9.474166667	"Guinea"	"NA"	"NA"	"NA"	"NA"	0	14	0	"IFA"	"IgG"	"Mastomys"	"natalensis"	"Fichet-Calvet_Becker-Ziaja_2014"	"Fichet-Calvet_Becker-Ziaja_2014"	"Fichet-Calvet E, Becker-Ziaja B, Koivogui L, Günther S. Lassa serology in natural populations of rodents and horizontal transmission. Vector-Borne and Zoonotic Diseases. 2014 Sep 1;14(9):665-74."	"10.1089/vbz.2013.1484"	"fichet2014lassa"	"NA"	"NA"
14	"Siguiri"	"Saourou"	"2002-2004"	11.51166667	-9.01	"Guinea"	"NA"	"NA"	"NA"	"NA"	1	33	0.03030303	"IFA"	"IgG"	"Mastomys"	"natalensis"	"Fichet-Calvet_Becker-Ziaja_2014"	"Fichet-Calvet_Becker-Ziaja_2014"	"Fichet-Calvet E, Becker-Ziaja B, Koivogui L, Günther S. Lassa serology in natural populations of rodents and horizontal transmission. Vector-Borne and Zoonotic Diseases. 2014 Sep 1;14(9):665-74."	"10.1089/vbz.2013.1484"	"fichet2014lassa"	"NA"	"NA"
15	"Faranah"	"Tanganya"	"2002-2004"	10.00055556	-10.97277778	"Guinea"	"NA"	"NA"	"NA"	"NA"	60	155	0.387096774	"IFA"	"IgG"	"Mastomys"	"natalensis"	"Fichet-Calvet_Becker-Ziaja_2014"	"Fichet-Calvet_Becker-Ziaja_2014"	"Fichet-Calvet E, Becker-Ziaja B, Koivogui L, Günther S. Lassa serology in natural populations of rodents and horizontal transmission. Vector-Borne and Zoonotic Diseases. 2014 Sep 1;14(9):665-74."	"10.1089/vbz.2013.1484"	"fichet2014lassa"	"NA"	"NA"
16	"NA"	"Yafraya"	"2002-2004"	10.01194444	-13.67888889	"Guinea"	"NA"	"NA"	"NA"	"NA"	0	0	"NA"	"IFA"	"IgG"	"Mastomys"	"natalensis"	"Fichet-Calvet_Becker-Ziaja_2014"	"Fichet-Calvet_Becker-Ziaja_2014"	"Fichet-Calvet E, Becker-Ziaja B, Koivogui L, Günther S. Lassa serology in natural populations of rodents and horizontal transmission. Vector-Borne and Zoonotic Diseases. 2014 Sep 1;14(9):665-74."	"10.1089/vbz.2013.1484"	"fichet2014lassa"	"NA"	"NA"
17	"East"	"Niahun"	"1977-1983"	8	-11.07	"Sierra Leone"	28	396	0.070707071	"Isolation"	120	396	0.303030303	"IFA"	"IgG"	"Mastomys"	"natalensis"	"Fichet-Calvet_Rogers_2009"	"McCormick_Webb_1987"	"McCormick JB, Webb PA, Krebs JW, Johnson KM, Smith ES. A prospective study of the epidemiology and ecology of Lassa fever. Journal of Infectious Diseases. 1987 Mar 1;155(3):437-44."	"10.1093/infdis/155.3.437"	"mccormick1987prospective"	"Tested for IgG antibody (McCormick, personal communication). "	"NA"
18	"East"	"Konia"	"1977-1983"	8.1	-11.02	"Sierra Leone"	56	340	0.164705882	"Isolation"	97	294	0.329931973	"IFA"	"IgG"	"Mastomys"	"natalensis"	"Fichet-Calvet_Rogers_2009"	"McCormick_Webb_1987"	"McCormick JB, Webb PA, Krebs JW, Johnson KM, Smith ES. A prospective study of the epidemiology and ecology of Lassa fever. Journal of Infectious Diseases. 1987 Mar 1;155(3):437-44."	"10.1093/infdis/155.3.437"	"mccormick1987prospective"	"Tested for IgG antibody (McCormick, personal communication). "	"NA"
19	"East"	"Kpandebu"	"1977-1983"	8.22	-11.07	"Sierra Leone"	1	38	0.026315789	"Isolation"	9	39	0.230769231	"IFA"	"IgG"	"Mastomys"	"natalensis"	"Fichet-Calvet_Rogers_2009"	"McCormick_Webb_1987"	"McCormick JB, Webb PA, Krebs JW, Johnson KM, Smith ES. A prospective study of the epidemiology and ecology of Lassa fever. Journal of Infectious Diseases. 1987 Mar 1;155(3):437-44."	"10.1093/infdis/155.3.437"	"mccormick1987prospective"	"Tested for IgG antibody (McCormick, personal communication). "	"NA"
20	"East"	"Tongola"	"1977-1983"	8.22	-11.05	"Sierra Leone"	5	49	0.102040816	"Isolation"	5	49	0.102040816	"IFA"	"IgG"	"Mastomys"	"natalensis"	"Fichet-Calvet_Rogers_2009"	"McCormick_Webb_1987"	"McCormick JB, Webb PA, Krebs JW, Johnson KM, Smith ES. A prospective study of the epidemiology and ecology of Lassa fever. Journal of Infectious Diseases. 1987 Mar 1;155(3):437-44."	"10.1093/infdis/155.3.437"	"mccormick1987prospective"	"Tested for IgG antibody (McCormick, personal communication). "	"NA"
21	"East"	"Lalehun"	"1977-1982"	8.2	-11.08	"Sierra Leone"	1	130	0.007692308	"Isolation"	8	130	0.061538462	"IFA"	"IgG"	"Mastomys"	"natalensis"	"Fichet-Calvet_Rogers_2009"	"McCormick_Webb_1987"	"McCormick JB, Webb PA, Krebs JW, Johnson KM, Smith ES. A prospective study of the epidemiology and ecology of Lassa fever. Journal of Infectious Diseases. 1987 Mar 1;155(3):437-44."	"10.1093/infdis/155.3.437"	"mccormick1987prospective"	"Tested for IgG antibody (McCormick, personal communication). "	"NA"
22	"East"	"Palima"	"1977-1983"	8.22	-11.05	"Sierra Leone"	6	52	0.115384615	"Isolation"	19	53	0.358490566	"IFA"	"IgG"	"Mastomys"	"natalensis"	"Fichet-Calvet_Rogers_2009"	"McCormick_Webb_1987"	"McCormick JB, Webb PA, Krebs JW, Johnson KM, Smith ES. A prospective study of the epidemiology and ecology of Lassa fever. Journal of Infectious Diseases. 1987 Mar 1;155(3):437-44."	"10.1093/infdis/155.3.437"	"mccormick1987prospective"	"Tested for IgG antibody (McCormick, personal communication). "	"NA"
23	"East"	"Giehun"	"1977-1983"	"8.2166667"	"-11.0333333"	"Sierra Leone"	1	102	0.009803922	"Isolation"	8	103	0.077669903	"IFA"	"IgG"	"Mastomys"	"natalensis"	"EFC database"	"McCormick_Webb_1987"	"McCormick JB, Webb PA, Krebs JW, Johnson KM, Smith ES. A prospective study of the epidemiology and ecology of Lassa fever. Journal of Infectious Diseases. 1987 Mar 1;155(3):437-44."	"10.1093/infdis/155.3.437"	"mccormick1987prospective"	"Tested for IgG antibody (McCormick, personal communication). "	"NA"
24	"East"	"Landoma"	"1977-1983"	8.23	-11.07	"Sierra Leone"	2	56	0.035714286	"Isolation"	9	56	0.160714286	"IFA"	"IgG"	"Mastomys"	"natalensis"	"Fichet-Calvet_Rogers_2009"	"McCormick_Webb_1987"	"McCormick JB, Webb PA, Krebs JW, Johnson KM, Smith ES. A prospective study of the epidemiology and ecology of Lassa fever. Journal of Infectious Diseases. 1987 Mar 1;155(3):437-44."	"10.1093/infdis/155.3.437"	"mccormick1987prospective"	"Tested for IgG antibody (McCormick, personal communication). "	"NA"
25	"East"	"Lowoma"	"1977-1982"	8.22	-11.03	"Sierra Leone"	26	32	0.8125	"Isolation"	2	33	0.060606061	"IFA"	"IgG"	"Mastomys"	"natalensis"	"Fichet-Calvet_Rogers_2009"	"McCormick_Webb_1987"	"McCormick JB, Webb PA, Krebs JW, Johnson KM, Smith ES. A prospective study of the epidemiology and ecology of Lassa fever. Journal of Infectious Diseases. 1987 Mar 1;155(3):437-44."	"10.1093/infdis/155.3.437"	"mccormick1987prospective"	"Tested for IgG antibody (McCormick, personal communication). "	"NA"
26	"East"	"Geliama"	"1977-1983"	"8.2166667"	"-11.0333333"	"Sierra Leone"	9	68	0.132352941	"Isolation"	11	68	0.161764706	"IFA"	"IgG"	"Mastomys"	"natalensis"	"Fichet-Calvet_Rogers_2009"	"McCormick_Webb_1987"	"McCormick JB, Webb PA, Krebs JW, Johnson KM, Smith ES. A prospective study of the epidemiology and ecology of Lassa fever. Journal of Infectious Diseases. 1987 Mar 1;155(3):437-44."	"10.1093/infdis/155.3.437"	"mccormick1987prospective"	"Tested for IgG antibody (McCormick, personal communication). "	"NA"
27	"East"	"Giema"	"1977-1983"	8.2	-11.05	"Sierra Leone"	18	93	0.193548387	"Isolation"	15	53	0.283018868	"IFA"	"IgG"	"Mastomys"	"natalensis"	"Fichet-Calvet_Rogers_2009"	"McCormick_Webb_1987"	"McCormick JB, Webb PA, Krebs JW, Johnson KM, Smith ES. A prospective study of the epidemiology and ecology of Lassa fever. Journal of Infectious Diseases. 1987 Mar 1;155(3):437-44."	"10.1093/infdis/155.3.437"	"mccormick1987prospective"	"Tested for IgG antibody (McCormick, personal communication). "	"NA"
28	"South"	"Yengema"	"1977-1983"	"7.8261111"	"-12.0152778"	"Sierra Leone"	0	8	0	"Isolation"	0	19	0	"IFA"	"IgG"	"Mastomys"	"natalensis"	"EFC database"	"McCormick_Webb_1987"	"McCormick JB, Webb PA, Krebs JW, Johnson KM, Smith ES. A prospective study of the epidemiology and ecology of Lassa fever. Journal of Infectious Diseases. 1987 Mar 1;155(3):437-44."	"10.1093/infdis/155.3.437"	"mccormick1987prospective"	"Tested for IgG antibody (McCormick, personal communication). "	"NA"
29	"North"	"Kathumpe"	"1977-1983"	9.5	-12.23	"Sierra Leone"	4	54	0.074074074	"Isolation"	"NA"	"NA"	"NA"	"IFA"	"IgG"	"Mastomys"	"natalensis"	"Fichet-Calvet_Rogers_2009"	"McCormick_Webb_1987"	"McCormick JB, Webb PA, Krebs JW, Johnson KM, Smith ES. A prospective study of the epidemiology and ecology of Lassa fever. Journal of Infectious Diseases. 1987 Mar 1;155(3):437-44."	"10.1093/infdis/155.3.437"	"mccormick1987prospective"	"Tested for IgG antibody (McCormick, personal communication). "	"NA"
30	"North"	"Mamaka"	"1977-1983"	9.1	-12.32	"Sierra Leone"	5	17	0.294117647	"Isolation"	"NA"	"NA"	"NA"	"IFA"	"IgG"	"Mastomys"	"natalensis"	"Fichet-Calvet_Rogers_2009"	"McCormick_Webb_1987"	"McCormick JB, Webb PA, Krebs JW, Johnson KM, Smith ES. A prospective study of the epidemiology and ecology of Lassa fever. Journal of Infectious Diseases. 1987 Mar 1;155(3):437-44."	"10.1093/infdis/155.3.437"	"mccormick1987prospective"	"Tested for IgG antibody (McCormick, personal communication). "	"NA"
31	"Panguma"	"Tongo"	1972	8.45	-11.12	"Sierra Leone"	13	35	0.371428571	"CF"	"NA"	"NA"	"NA"	"NA"	"NA"	"Mastomys"	"natalensis"	"Fichet-Calvet_Rogers_2009"	"Monath_Newhouse_1974"	"Monath TP, Newhouse VF, Kemp GE, Setzer HW, Cacciapuoti A. Lassa virus isolation from Mastomys natalensis rodents during an epidemic in Sierra Leone. Science. 1974 Jul 19;185(4147):263-5."	"10.1126/science.185.4147.263"	"monath1974lassa"	"NA"	"NA"
32	"Panguma"	"Panguma"	1972	8.2	-11.22	"Sierra Leone"	1	46	0.02173913	"CF"	"NA"	"NA"	"NA"	"NA"	"NA"	"Mastomys"	"natalensis"	"Fichet-Calvet_Rogers_2009"	"Monath_Newhouse_1974"	"Monath TP, Newhouse VF, Kemp GE, Setzer HW, Cacciapuoti A. Lassa virus isolation from Mastomys natalensis rodents during an epidemic in Sierra Leone. Science. 1974 Jul 19;185(4147):263-5."	"10.1126/science.185.4147.263"	"monath1974lassa"	"NA"	"NA"
33	"NA"	"Abagboro"	"2011-2013"	7.543888889	4.513111111	"Nigeria"	0	99	0	"PCR"	1	99	0.01010101	"IFA"	"IgG"	"Mastomys"	"natalensis"	"Olayemi_Oyeyiola_2018"	"Olayemi_Oyeyiola_2018"	"Olayemi A, Obadare A, Oyeyiola A, Fasogbon S, Igbokwe J, Igbahenah F, Ortsega D, Günther S, Verheyen E, Fichet-Calvet E. Small mammal diversity and dynamics within Nigeria, with emphasis on reservoirs of the Lassa virus. Systematics and Biodiversity. 2018 Feb 17;16(2):118-27."	"10.1186/s13071-018-2991-5"	"olayemi2018small"	"Other species also tested positive (Table 1)"	"NA"
34	"NA"	"Kako"	"2011-2013"	7.690638889	4.619388889	"Nigeria"	0	7	0	"PCR"	0	7	0	"IFA"	"IgG"	"Mastomys"	"natalensis"	"Olayemi_Oyeyiola_2018"	"Olayemi_Oyeyiola_2018"	"Olayemi A, Obadare A, Oyeyiola A, Fasogbon S, Igbokwe J, Igbahenah F, Ortsega D, Günther S, Verheyen E, Fichet-Calvet E. Small mammal diversity and dynamics within Nigeria, with emphasis on reservoirs of the Lassa virus. Systematics and Biodiversity. 2018 Feb 17;16(2):118-27."	"10.1186/s13071-018-2991-5"	"olayemi2018small"	"Other species also tested positive (Table 1)"	"NA"
35	"NA"	"Esira"	"2011-2013"	7.701305556	4.655388889	"Nigeria"	0	13	0	"PCR"	0	13	0	"IFA"	"IgG"	"Mastomys"	"natalensis"	"Olayemi_Oyeyiola_2018"	"Olayemi_Oyeyiola_2018"	"Olayemi A, Obadare A, Oyeyiola A, Fasogbon S, Igbokwe J, Igbahenah F, Ortsega D, Günther S, Verheyen E, Fichet-Calvet E. Small mammal diversity and dynamics within Nigeria, with emphasis on reservoirs of the Lassa virus. Systematics and Biodiversity. 2018 Feb 17;16(2):118-27."	"10.1186/s13071-018-2991-5"	"olayemi2018small"	"Other species also tested positive (Table 1)"	"NA"
36	"NA"	"Eguare Egoro"	"2011-2012"	6.772972222	6.092361111	"Nigeria"	6	29	0.206896552	"PCR"	5	29	0.172413793	"IFA"	"IgG"	"Mastomys"	"natalensis"	"Olayemi_Oyeyiola_2018"	"Olayemi_Oyeyiola_2018"	"Olayemi A, Obadare A, Oyeyiola A, Fasogbon S, Igbokwe J, Igbahenah F, Ortsega D, Günther S, Verheyen E, Fichet-Calvet E. Small mammal diversity and dynamics within Nigeria, with emphasis on reservoirs of the Lassa virus. Systematics and Biodiversity. 2018 Feb 17;16(2):118-27."	"10.1186/s13071-018-2991-5"	"olayemi2018small"	"Other species also tested positive (Table 1)"	"NA"
37	"Edo state"	"Ekpoma"	2012	6.741416667	6.104888889	"Nigeria"	9	36	0.25	"PCR"	13	36	0.361111111	"IFA"	"IgG"	"Mastomys"	"natalensis"	"Olayemi_Oyeyiola_2018"	"Olayemi_Oyeyiola_2018"	"Olayemi A, Obadare A, Oyeyiola A, Fasogbon S, Igbokwe J, Igbahenah F, Ortsega D, Günther S, Verheyen E, Fichet-Calvet E. Small mammal diversity and dynamics within Nigeria, with emphasis on reservoirs of the Lassa virus. Systematics and Biodiversity. 2018 Feb 17;16(2):118-27."	"10.1186/s13071-018-2991-5"	"olayemi2018small"	"Other species also tested positive (Table 1)"	"NA"
38	"NA"	"Mayo Ranewo"	"2011-2013"	8.824222222	10.92088889	"Nigeria"	0	31	0	"PCR"	16	31	0.516129032	"IFA"	"IgG"	"Mastomys"	"natalensis"	"Olayemi_Oyeyiola_2018"	"Olayemi_Oyeyiola_2018"	"Olayemi A, Obadare A, Oyeyiola A, Fasogbon S, Igbokwe J, Igbahenah F, Ortsega D, Günther S, Verheyen E, Fichet-Calvet E. Small mammal diversity and dynamics within Nigeria, with emphasis on reservoirs of the Lassa virus. Systematics and Biodiversity. 2018 Feb 17;16(2):118-27."	"10.1186/s13071-018-2991-5"	"olayemi2018small"	"Other species also tested positive (Table 1). Mastomys natalensis found positive for Mobala-like virus. 16 seropositive for arenavirus, set to 0 because EFC believes this is not Lassa virus"	"NA"
39	"NA"	"Ngel Nyaki"	"2011-2013"	7.091888889	11.08552778	"Nigeria"	0	24	0	"PCR"	5	24	0.208333333333333	"IFA"	"IgG"	"Mastomys"	"natalensis"	"Olayemi_Oyeyiola_2018"	"Olayemi_Oyeyiola_2018"	"Olayemi A, Obadare A, Oyeyiola A, Fasogbon S, Igbokwe J, Igbahenah F, Ortsega D, Günther S, Verheyen E, Fichet-Calvet E. Small mammal diversity and dynamics within Nigeria, with emphasis on reservoirs of the Lassa virus. Systematics and Biodiversity. 2018 Feb 17;16(2):118-27."	"10.1186/s13071-018-2991-5"	"olayemi2018small"	"Other species also tested positive (Table 1). Mastomys natalensis found positive for Mobala-like virus. 5 Mn found seropositive for arenavirus, EFC believes this is not Lassa"	"NA"
40	"NA"	"Onba Abena"	"2011-2012"	7.640972222	8.406555556	"Nigeria"	0	34	0	"PCR"	0	34	0	"IFA"	"IgG"	"Mastomys"	"natalensis"	"Olayemi_Oyeyiola_2018"	"Olayemi_Oyeyiola_2018"	"Olayemi A, Obadare A, Oyeyiola A, Fasogbon S, Igbokwe J, Igbahenah F, Ortsega D, Günther S, Verheyen E, Fichet-Calvet E. Small mammal diversity and dynamics within Nigeria, with emphasis on reservoirs of the Lassa virus. Systematics and Biodiversity. 2018 Feb 17;16(2):118-27."	"10.1186/s13071-018-2991-5"	"olayemi2018small"	"Other species also tested positive (Table 1)"	"NA"
41	"NA"	"NTessoni"	2009	11.03333333	-5.983333333	"Mali"	0	17	0	"PCR"	"NA"	"NA"	"NA"	"NA"	"NA"	"Mastomys"	"natalensis"	"Safronetz_Lopez_2010"	"Safronetz_Lopez_2010"	"Safronetz D, Lopez JE, Sogoba N, Traore SF, Raffel SJ, Fischer ER, Ebihara H, Branco L, Garry RF, Schwan TG, Feldmann H. Detection of Lassa virus, Mali. Emerging infectious diseases. 2010 Jul;16(7):1123."	"10.3201/eid1607.100146"	"safronetz2010detection"	"NA"	"NA"
42	"NA"	"Soromba"	2009	10.58333333	-7.15	"Mali"	6	25	0.24	"PCR"	"NA"	"NA"	"NA"	"NA"	"NA"	"Mastomys"	"natalensis"	"Safronetz_Lopez_2010"	"Safronetz_Lopez_2010"	"Safronetz D, Lopez JE, Sogoba N, Traore SF, Raffel SJ, Fischer ER, Ebihara H, Branco L, Garry RF, Schwan TG, Feldmann H. Detection of Lassa virus, Mali. Emerging infectious diseases. 2010 Jul;16(7):1123."	"10.3201/eid1607.100146"	"safronetz2010detection"	"NA"	"NA"
43	"NA"	"Doneguebougou"	2009	12.80583333	-7.983333333	"Mali"	0	40	0	"PCR"	"NA"	"NA"	"NA"	"NA"	"NA"	"Mastomys"	"natalensis"	"Safronetz_Lopez_2010"	"Safronetz_Lopez_2010"	"Safronetz D, Lopez JE, Sogoba N, Traore SF, Raffel SJ, Fischer ER, Ebihara H, Branco L, Garry RF, Schwan TG, Feldmann H. Detection of Lassa virus, Mali. Emerging infectious diseases. 2010 Jul;16(7):1123."	"10.3201/eid1607.100146"	"safronetz2010detection"	"NA"	"NA"
44	"NA"	"Garalo"	2011	10.99361111	-7.437222222	"Mali"	0	22	0	"PCR"	0	22	0	"ELISA"	"IgG"	"Mastomys"	"natalensis"	"Safronetz_Sogoba_2013"	"Safronetz_Sogoba_2013"	"Safronetz D, Sogoba N, Lopez JE, Maiga O, Dahlstrom E, Zivcec M, Feldmann F, Haddock E, Fischer RJ, Anderson JM, Munster VJ. Geographic distribution and genetic characterization of Lassa virus in sub-Saharan Mali. PLoS neglected tropical diseases. 2013 Dec;7(12)."	"10.3201/eid1607.100146"	"safronetz2010detection"	"NA"	"NA"
45	"NA"	"Kotie"	2011	10.9175	-7.405833333	"Mali"	0	11	0	"PCR"	0	11	0	"ELISA"	"IgG"	"Mastomys"	"natalensis"	"Safronetz_Sogoba_2013"	"Safronetz_Sogoba_2013"	"Safronetz D, Sogoba N, Lopez JE, Maiga O, Dahlstrom E, Zivcec M, Feldmann F, Haddock E, Fischer RJ, Anderson JM, Munster VJ. Geographic distribution and genetic characterization of Lassa virus in sub-Saharan Mali. PLoS neglected tropical diseases. 2013 Dec;7(12)."	"10.3201/eid1607.100146"	"safronetz2010detection"	"NA"	"NA"
46	"NA"	"Tiekoumana"	2012	10.88555556	-7.382222222	"Mali"	0	11	0	"PCR"	0	11	0	"ELISA"	"IgG"	"Mastomys"	"natalensis"	"Safronetz_Sogoba_2013"	"Safronetz_Sogoba_2013"	"Safronetz D, Sogoba N, Lopez JE, Maiga O, Dahlstrom E, Zivcec M, Feldmann F, Haddock E, Fischer RJ, Anderson JM, Munster VJ. Geographic distribution and genetic characterization of Lassa virus in sub-Saharan Mali. PLoS neglected tropical diseases. 2013 Dec;7(12)."	"10.3201/eid1607.100146"	"safronetz2010detection"	"NA"	"NA"
