"Species";"Latitude";"Longitude";"Locality";"Country";"Diagnosis";"Confidence";"Reference";"Coord_Method";"Coord_Method_Name";"Issues"
"Mastomys natalensis";0.5;25.2;"Kisangani";"Congo Kinshasa";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-5.3333;27;"Kongolo";"Congo Kinshasa";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";2.85;24.5667;"Koteli";"Congo Kinshasa";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-5.9333;25.5333;"Lualaba";"Congo Kinshasa";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-5.3333;21.55;"Luebo";"Congo Kinshasa";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-10.4667;27.5333;"Lukafu";"Congo Kinshasa";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-4.8333;23.4333;"Lusambo";"Congo Kinshasa";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-8.9333;27.2;"Lusinga";"Congo Kinshasa";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-8.65;26.5167;"Mabwe, rive E lac Upemba";"Congo Kinshasa";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";0.55;27.7333;"Makala";"Congo Kinshasa";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";0.85;27.55;"Mambaka";"Congo Kinshasa";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";0.6;25.2167;"Masako";"Congo Kinshasa";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-9.0833;27.2;"Masombwe s/Grande Kafwe";"Congo Kinshasa";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";3.5333;24.8333;"M'buma";"Congo Kinshasa";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";2.4167;27.3;"Medje";"Congo Kinshasa";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-5.3333;24.8667;"Mitombe tshofa";"Congo Kinshasa";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-8.3667;22.25;"Musumba bij riv luzala";"Congo Kinshasa";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-5.1759;19.1166;"Ngome";"Congo Kinshasa";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-3.35;23.25;"Omaniumdu";"Congo Kinshasa";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";1.8667;26.3833;"Panga";"Congo Kinshasa";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-3.1833;26.6167;"Pangi";"Congo Kinshasa";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";2.75;27.6833;"Paulis";"Congo Kinshasa";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";3.1333;26.9667;"Poko";"Congo Kinshasa";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";3.25;27.95;"Rungu";"Congo Kinshasa";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-6.0167;22.3167;"St joseph luluabourg";"Congo Kinshasa";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";2.97;19.35;"Tandala";"Congo Kinshasa";"morpho + chrom";"high";"Tervuren Museum";"NA";;
"Mastomys natalensis";-0.8833;18.15;"Tondu";"Congo Kinshasa";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";0.5;25.5;"Tshakala";"Congo Kinshasa";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-6.4667;20.8;"Tshikapa";"Congo Kinshasa";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-1;23.3333;"Tshuapa bovenloop";"Congo Kinshasa";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";2.58;21.78;"Yalosemba";"Congo Kinshasa";"morpho + chrom";"high";"Tervuren Museum";"NA";;
"Mastomys natalensis";1.2833;24.5667;"Yambuya";"Congo Kinshasa";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";0.75;24.6667;"Yangambi";"Congo Kinshasa";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";3.15;29.8333;"Abimva";"Congo Kinshasa";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";-3.35;28.1333;"Bionga";"Congo Kinshasa";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";1.0167;29.9667;"Boga";"Congo Kinshasa";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";3.75;29.6667;"Faradje";"Congo Kinshasa";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";3.6667;29.15;"Gangala na bodio";"Congo Kinshasa";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";3.6833;29.1333;"Gangala-na-Bodio";"Congo Kinshasa";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";3.9167;29.4167;"Garamba park, cel ii";"Congo Kinshasa";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";1.5333;29.85;"Irumu";"Congo Kinshasa";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";-3.1833;28.3333;"Kagada";"Congo Kinshasa";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";-3.0167;28.1;"Kamituga";"Congo Kinshasa";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";-0.4833;28.8167;"Lutunguru";"Congo Kinshasa";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";3.9667;29.3833;"Nambira";"Congo Kinshasa";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";6.78;-7.29;"Blodi";"Cote d'Ivoire";"morpho + PCR cytb";"high";"Lalis 2008";"NA";;
"Mastomys natalensis";8.65;-3.78;"Kakpin";"Cote d'Ivoire";"morpho + PCR cytb";"high";"Duplantier et al. 2009";"NA";;
"Mastomys natalensis";6.23;-4.93;"Aheremou";"Cote d'Ivoire";"morpho";"low";"Coulibaly-Ngolo et al. 2011";"NA";;
"Mastomys natalensis";6.14;-4.87;"Ahouakro";"Cote d'Ivoire";"morpho + PCR cytb";"high";"Coulibaly-Ngolo et al. 2011";"NA";;
"Mastomys natalensis";5.76;-5.48;"Gbagroube";"Cote d'Ivoire";"morpho + PCR cytb";"high";"Coulibaly-Ngolo et al. 2011";"NA";;
"Mastomys natalensis";6.18;-6.07;"Menekre";"Cote d'Ivoire";"morpho + PCR cytb";"high";"Coulibaly-Ngolo et al. 2011";"NA";;
"Mastomys natalensis";8.23;-2.56;"Sanguiebo";"Cote d'Ivoire";"morpho + PCR cytb";"high";"Coulibaly-Ngolo et al. 2011";"NA";;
"Mastomys natalensis";6.74;-3.38;"Touzoukro";"Cote d'Ivoire";"morpho";"low";"Coulibaly-Ngolo et al. 2011";"NA";;
"Mastomys natalensis";7.07;-3.13;"Kotokossou";"Cote d'Ivoire";"morpho + PCR cytb";"high";"Coulibaly-Ngolo et al. 2011";"NA";;
"Mastomys natalensis";6.7942;-7.2958;"Blodi";"Cote d'Ivoire";"morpho + PCR cytb";"high";"Coulibaly-Ngolo et al. 2011";"NA";;
"Mastomys natalensis";6.7333;-3.4833;"Abengourou";"Cote d'Ivoire";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";6.8333;-5.05;"Abokouamekro ranch satmaci";"Cote d'Ivoire";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";5.3333;-4.1167;"Adiopodoume";"Cote d'Ivoire";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";5.3167;-4.3333;"Agneby";"Cote d'Ivoire";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";9.5667;-3.9333;"Badedeya";"Cote d'Ivoire";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";9.5667;-3.8833;"Bambela";"Cote d'Ivoire";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";5.4167;-4.05;"Banco";"Cote d'Ivoire";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";9.5833;-3.9167;"Batidi nord";"Cote d'Ivoire";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";9.45;-3.9;"Biguilaie";"Cote d'Ivoire";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";7.9833;-6.7167;"Bolo";"Cote d'Ivoire";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";7.6833;-5.0333;"Bouake";"Cote d'Ivoire";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";9.4;-3;"Bouna";"Cote d'Ivoire";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";5.3167;-4.3833;"Dabou";"Cote d'Ivoire";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";9.6833;-6.4;"Dembasso";"Cote d'Ivoire";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";5.8;-5.25;"Divo";"Cote d'Ivoire";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";9.8;-3.3333;"Doropo";"Cote d'Ivoire";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";6.75;-7.35;"Duekove";"Cote d'Ivoire";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";7.8167;-4.6833;"Fetekro";"Cote d'Ivoire";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";7.2833;-8.05;"Flampleu";"Cote d'Ivoire";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";6;-7.5333;"Gnenehoroke";"Cote d'Ivoire";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";7.4333;-8.2833;"Gopopleu";"Cote d'Ivoire";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";5.1333;-5.0167;"Grand lahou";"Cote d'Ivoire";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";6.55;-7.4833;"Guiglo m'bla";"Cote d'Ivoire";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";5.3333;-4.1333;"Idert";"Cote d'Ivoire";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";8.5167;-5.3167;"Kafine";"Cote d'Ivoire";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";7.0833;-4.0667;"Komoso";"Cote d'Ivoire";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";5.3667;-3.8167;"Lame irho";"Cote d'Ivoire";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";7.65;-7.6167;"Mangouin";"Cote d'Ivoire";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";7.3;-8.0667;"Matonguine";"Cote d'Ivoire";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";5.3;-4.45;"Mopoyem";"Cote d'Ivoire";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";9.4;-4.4833;"Nassian";"Cote d'Ivoire";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";9.3333;-4.6833;"Niangbata";"Cote d'Ivoire";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";8.2167;-5.1333;"Ofiakaha";"Cote d'Ivoire";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";9.5667;-4.05;"Ouango";"Cote d'Ivoire";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";10.05;-7.5333;"Sanaferedougou";"Cote d'Ivoire";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";7.3667;-7.35;"Seambly";"Cote d'Ivoire";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";9.7;-5.3333;"Tiegbe";"Cote d'Ivoire";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";6.4333;-8.15;"Tinhou doropo";"Cote d'Ivoire";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";6.6167;-8.4833;"Toyebli";"Cote d'Ivoire";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";7.8833;-4.6333;"Yooamounkro";"Cote d'Ivoire";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";6.55;-8.3833;"Ziombly";"Cote d'Ivoire";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";6.5333;-8.4667;"Zoguine";"Cote d'Ivoire";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";7.88;34.37;"Gambela";"Ethiopia";"morpho + chrom";"high";"Bulatova et al. 1999 (ASM)";"NA";;
"Mastomys natalensis";8.38;39.15;"Koka lake";"Ethiopia";"morpho + chrom";"high";"Lavrenchenko 1998";"NA";;
"Mastomys natalensis";8.93;37.97;"Ambo";"Ethiopia";"morpho + chrom";"high";"Lavrenchenko 1998";"NA";;
